WATERBODY_IDENTIFIER,GAZETTED_NAME,Requested Location (Alias),AREA_HA,PERIMETER_M,ELEVATION_M,LONGITUDE,LATITUDE,DD5,MAP,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,CountOfSPECIES_NAME,Fishery Objective,Region,assessed_wbid,ID
00064KOTR,,MARION,15.62224108,2152.7065,1262,-116.357756,51.04817611,1071,759,1,3,11,35,101,204,286,273,122,32,4,1,5,Regional,4E,,504
00799KHOR,,MCCLAIN,9.44297858,1326.6644,1008,-116.5743434,50.95223456,1353,619,1,4,18,56,148,251,340,321,163,44,6,1,2,Trophy,4E,00799KHOR,505
00443SMAR,MCNAIR LAKES,MCNAIR NORTH(NORTH MCNAIR),2.29014338,751.2573,1065,-115.8792441,49.8933661,1452,561,2,6,19,57,145,260,367,349,184,53,8,2,2,Regional,4E,,506
00478SMAR,MCNAIR LAKES,MCNAIR SOUTH(SOUTH MCNAIR),3.53830783,808.8362,1072,-115.8818988,49.88011664,1450,572,2,6,19,56,145,259,366,349,184,53,8,2,2,Regional,4E,,507
00690KOTL,MINERAL LAKE,MINERAL,7.49274103,1376.3064,1031,-115.8532001,49.34747145,1501,523,2,7,21,62,151,259,369,359,199,61,10,3,5,Family,4E,,508
00130BULL,MURRAY LAKE,MIRROR,8.70535283,1628.2558,960,-115.3418539,49.48304275,1507,619,2,7,22,62,152,264,368,358,193,63,11,3,1,Regional,4E,,509
00217ELKR,,MITE,1.10171436,403.4321,1928,-114.6897373,49.80684132,714,881,1,2,4,13,40,116,220,215,79,22,2,1,1,Regional,4E,,510
00755KHOR,MITTEN LAKE,MITTEN,66.52060701,3890.9933,996,-116.5714398,50.96379853,1365,626,1,4,18,57,150,254,342,323,164,45,6,1,1,Regional,4E,00755KHOR,511
00665KOTL,MONROE LAKE,MONROE,51.57430204,6168.4286,1068,-115.8631304,49.36346704,1470,536,2,6,20,58,144,254,365,355,194,59,9,3,5,Family,4E,,512
00018ELKR,,MONUMENT,2.62142421,606.7,2031,-115.0191605,50.49266814,561,943,1,2,3,8,26,92,177,171,64,16,2,1,1,Regional,4E,,513
00617KOTL,,MOYIE (NORTH),0.52331746,363.4379,974,-115.8582054,49.41250579,1550,524,2,7,22,67,162,270,377,366,200,63,10,3,3,Family,4E,,514
00746KOTL,MOYIE LAKE,MOYIE(MOYIE (LOWER)),311.710221,14664.0153,927,-115.839453,49.28489436,1560,559,2,7,23,69,162,269,376,366,205,64,11,3,18,Family,4E,,515
00510BULL,,MUD,2.84251297,714.4117,774,-115.2287575,49.0530115,1794,441,3,10,33,92,200,310,417,399,228,82,15,4,3,Regional,4E,,516
01228SMAR,NEW LAKE,NEW,27.62068492,2368.7174,1192,-115.8512369,49.51556345,1347,573,2,5,16,48,124,236,346,337,173,50,8,2,3,Family,4E,,517
00793KHOR,NINE BAY LAKE,NINE BAY,33.73338746,4504.3234,963,-116.5396026,50.9480608,1392,598,1,4,19,60,156,259,346,327,168,46,6,1,1,Trophy,4E,,518
00549KHOR,NIXON LAKE,NIXON,3.74897769,753.1408,1327,-116.9515337,51.10942436,1038,954,1,3,11,32,91,194,278,266,128,30,4,1,2,Regional,4E,,519
01200SMAR,NORBURY LAKES,NORBURY(GARBUTTS),10.82943764,1536.2633,833,-115.481406,49.531949,1627,464,2,8,27,75,169,283,390,375,211,70,12,3,6,Regional,4E,,521
00295BULL,NORTH STAR LAKE,NORTH STAR,24.96695505,2849.0368,842,-115.2635231,49.34350246,1665,534,3,9,27,78,179,288,396,383,213,73,13,4,3,Regional,4E,,522
01170SMAR,NORBURY LAKES,PECKHAMS(NORBURY LAKES),13.50897003,1666.3769,837,-115.4839516,49.54076913,1617,465,2,8,27,74,167,281,389,374,210,70,12,3,4,Family,4E,,523
00150BULL,,PICKERING,2.33359136,648.6379,940,-115.4079187,49.45374971,1545,526,2,8,24,66,160,270,376,363,197,65,11,3,2,Regional,4E,,524
00262SMAR,PREMIER LAKE,PREMIER,202.561024,9092.6166,877,-115.6533819,49.93634809,1621,425,2,7,25,73,177,290,395,375,203,62,10,2,7,Quality,4E,00262SMAR,525
